iter	Passed	Remaining
0	231	230971
1	236	117821
2	239	79552
3	241	60220
4	243	48548
5	246	40759
6	248	35276
7	251	31126
8	253	27883
9	263	26132
10	267	24047
11	276	22760
12	278	21167
13	280	19780
14	282	18581
15	286	17597
16	290	16785
17	300	16377
18	303	15694
19	310	15238
20	316	14753
21	318	14180
22	327	13920
23	330	13459
24	333	13008
25	341	12795
26	344	12423
27	348	12085
28	358	11992
29	361	11683
30	363	11377
31	369	11163
32	373	10942
33	393	11166
34	403	11132
35	406	10884
36	417	10878
37	420	10646
38	423	10430
39	432	10390
40	441	10321
41	444	10138
42	448	9982
43	452	9835
44	461	9794
45	464	9630
46	472	9572
47	476	9445
48	478	9286
49	492	9353
50	495	9223
51	505	9208
52	523	9360
53	539	9453
54	543	9336
55	547	9221
56	551	9123
57	559	9084
58	565	9013
59	582	9128
60	598	9208
61	602	9115
62	611	9088
63	621	9092
64	626	9015
65	631	8932
66	635	8856
67	644	8831
68	650	8772
69	654	8697
70	661	8650
71	665	8574
72	668	8482
73	675	8454
74	680	8387
75	682	8300
76	685	8217
77	696	8228
78	700	8166
79	707	8140
80	711	8077
81	714	8001
82	716	7913
83	719	7851
84	725	7808
85	728	7744
86	734	7710
87	738	7658
88	741	7594
89	747	7553
90	749	7491
91	753	7434
92	755	7371
93	758	7311
94	762	7266
95	765	7208
96	768	7153
97	770	7094
98	773	7036
99	777	6993
100	782	6966
101	785	6911
102	787	6858
103	796	6860
104	800	6819
105	807	6808
106	814	6796
107	817	6749
108	824	6737
109	829	6713
110	832	6670
111	838	6646
112	842	6615
113	853	6634
114	856	6591
115	861	6566
116	864	6521
117	877	6561
118	881	6525
119	912	6692
120	926	6733
121	950	6843
122	961	6853
123	1039	7345
124	1043	7303
125	1055	7323
126	1057	7272
127	1065	7259
128	1174	7931
129	1180	7901
130	1188	7884
131	1193	7845
132	1196	7797
133	1202	7771
134	1207	7736
135	1225	7785
136	1236	7791
137	1241	7757
138	1248	7736
139	1253	7701
140	1256	7656
141	1266	7650
142	1270	7613
143	1287	7651
144	1293	7624
145	1296	7584
146	1299	7540
147	1302	7497
148	1307	7467
149	1310	7428
150	1314	7388
151	1317	7349
152	1340	7418
153	1343	7381
154	1346	7340
155	1349	7301
156	1352	7262
157	1356	7228
158	1360	7193
159	1364	7161
160	1370	7142
161	1375	7117
162	1381	7096
163	1385	7061
164	1388	7024
165	1391	6990
166	1395	6961
167	1402	6944
168	1405	6912
169	1409	6881
170	1412	6847
171	1415	6816
172	1418	6781
173	1421	6748
174	1425	6721
175	1428	6689
176	1431	6655
177	1433	6620
178	1435	6586
179	1439	6557
180	1443	6529
181	1445	6496
182	1447	6464
183	1450	6434
184	1453	6405
185	1456	6375
186	1459	6345
187	1461	6314
188	1464	6284
189	1470	6270
190	1473	6240
191	1476	6211
192	1478	6181
193	1481	6153
194	1483	6124
195	1486	6096
196	1488	6068
197	1495	6057
198	1498	6029
